# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-11-30
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-12-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,125827256,88079079,25165451,7549635,3774817,1258274
C-10002,サンプル顧客B社,146477563,102534294,29295512,8788653,4394326,1464778
C-10003,サンプル顧客C社,77476896,54233827,15495379,4648613,2324306,774771
C-10004,サンプル顧客D社,56347807,39443464,11269561,3380868,1690434,563480
C-10005,サンプル顧客E社,31819081,22273356,6363816,1909144,954572,318193
C-10006,サンプル顧客F社,18256844,12779790,3651368,1095410,547705,182571
C-10007,サンプル顧客G社,11249776,6299876,2249955,674986,337493,1687466
C-10011,サンプル顧客H社,42755368,29928757,8551073,2565322,1282661,427555
C-10012,サンプル顧客I社,40170026,28119018,8034005,2410201,1205100,401702
C-10013,サンプル顧客J社,83494341,58446038,16698868,5009660,2504830,834945
C-10014,サンプル顧客K社,28183859,19728701,5636771,1691031,845515,281841
C-10015,サンプル顧客L社,38544235,26980964,7708847,2312654,1156327,385443
C-10016,サンプル顧客M社,18562852,12993996,3712570,1113771,556885,185630
C-10017,サンプル顧客N社,14875675,8330379,2975135,892540,446270,2231351
C-10018,サンプル顧客O社,4585832,3210082,917166,275149,137574,45861
C-10021,サンプル顧客P社,27595224,19316656,5519044,1655713,827856,275955
C-10022,サンプル顧客Q社,54541973,38179381,10908394,3272518,1636259,545421
C-10023,サンプル顧客R社,13867210,7765639,2773442,832032,416016,2080081
C-10024,サンプル顧客S社,19397758,13578430,3879551,1163865,581932,193980
C-10025,サンプル顧客T社,10101895,7071326,2020379,606113,303056,101021

# Records: 20
