# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-05-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-06-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,125975175,88182622,25195035,7558510,3779255,1259753
C-10002,サンプル顧客B社,57106305,39974413,11421261,3426378,1713189,571064
C-10003,サンプル顧客C社,39478440,27634908,7895688,2368706,1184353,394785
C-10004,サンプル顧客D社,31742150,22219505,6348430,1904529,952264,317422
C-10005,サンプル顧客E社,19105902,13374131,3821180,1146354,573177,191060
C-10006,サンプル顧客F社,37362126,26153488,7472425,2241727,1120863,373623
C-10007,サンプル顧客G社,18926346,10598756,3785269,1135580,567790,2838951
C-10011,サンプル顧客H社,99080495,69356346,19816099,5944829,2972414,990807
C-10012,サンプル顧客I社,78519588,54963711,15703917,4711175,2355587,785198
C-10013,サンプル顧客J社,44668394,31267875,8933678,2680103,1340051,446687
C-10014,サンプル顧客K社,26150456,18305319,5230091,1569027,784513,261506
C-10015,サンプル顧客L社,44592071,31214449,8918414,2675524,1337762,445922
C-10016,サンプル顧客M社,25587172,17911020,5117434,1535230,767615,255873
C-10017,サンプル顧客N社,15140316,8478579,3028063,908418,454209,2271047
C-10018,サンプル顧客O社,8443833,5910683,1688766,506629,253314,84441
C-10021,サンプル顧客P社,18468752,12928126,3693750,1108125,554062,184689
C-10022,サンプル顧客Q社,20180767,14126536,4036153,1210846,605423,201809
C-10023,サンプル顧客R社,5659230,3169171,1131846,339553,169776,848884
C-10024,サンプル顧客S社,22563008,15794105,4512601,1353780,676890,225632
C-10025,サンプル顧客T社,10048517,7033961,2009703,602911,301455,100487

# Records: 20
