# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-09-30
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-10-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,166262397,116383677,33252479,9975743,4987871,1662627
C-10002,サンプル顧客B社,26961149,18872804,5392229,1617668,808834,269614
C-10003,サンプル顧客C社,43469402,30428581,8693880,2608164,1304082,434695
C-10004,サンプル顧客D社,53291812,37304268,10658362,3197508,1598754,532920
C-10005,サンプル顧客E社,11193181,7835226,2238636,671590,335795,111934
C-10006,サンプル顧客F社,30248536,21173975,6049707,1814912,907456,302486
C-10007,サンプル顧客G社,15650047,8764028,3130009,939002,469501,2347507
C-10011,サンプル顧客H社,98641845,69049291,19728369,5918510,2959255,986420
C-10012,サンプル顧客I社,32807756,22965429,6561551,1968465,984232,328079
C-10013,サンプル顧客J社,34999969,24499978,6999993,2099998,1049999,350001
C-10014,サンプル顧客K社,11153266,7807286,2230653,669195,334597,111535
C-10015,サンプル顧客L社,9123838,6386686,1824767,547430,273715,91240
C-10016,サンプル顧客M社,10141205,7098843,2028241,608472,304236,101413
C-10017,サンプル顧客N社,12138327,6797465,2427665,728299,364149,1820749
C-10018,サンプル顧客O社,9983476,6988433,1996695,599008,299504,99836
C-10021,サンプル顧客P社,65710400,45997280,13142080,3942624,1971312,657104
C-10022,サンプル顧客Q社,30658689,21461082,6131737,1839521,919760,306589
C-10023,サンプル顧客R社,18291430,10243203,3658286,1097485,548742,2743714
C-10024,サンプル顧客S社,15363578,10754504,3072715,921814,460907,153638
C-10025,サンプル顧客T社,11682099,8177469,2336419,700925,350462,116824

# Records: 20
