# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-06-30
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-07-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,167252282,117076597,33450456,10035136,5017568,1672525
C-10002,サンプル顧客B社,63363190,44354233,12672638,3801791,1900895,633633
C-10003,サンプル顧客C社,42102081,29471456,8420416,2526124,1263062,421023
C-10004,サンプル顧客D社,17609724,12326806,3521944,1056583,528291,176100
C-10005,サンプル顧客E社,19932328,13952629,3986465,1195939,597969,199326
C-10006,サンプル顧客F社,15587131,10910991,3117426,935227,467613,155874
C-10007,サンプル顧客G社,7295242,4085337,1459048,437714,218857,1094286
C-10011,サンプル顧客H社,184148653,128904057,36829730,11048919,5524459,1841488
C-10012,サンプル顧客I社,21870117,15309081,4374023,1312207,656103,218703
C-10013,サンプル顧客J社,34965951,24476165,6993190,2097957,1048978,349661
C-10014,サンプル顧客K社,56243700,39370590,11248740,3374622,1687311,562437
C-10015,サンプル顧客L社,29545638,20681946,5909127,1772738,886369,295458
C-10016,サンプル顧客M社,10336641,7235648,2067328,620198,310099,103368
C-10017,サンプル顧客N社,12326787,6903002,2465357,739607,369803,1849018
C-10018,サンプル顧客O社,14965794,10476055,2993158,897947,448973,149661
C-10021,サンプル顧客P社,67090270,46963189,13418054,4025416,2012708,670903
C-10022,サンプル顧客Q社,73571210,51499847,14714242,4414272,2207136,735713
C-10023,サンプル顧客R社,27292381,15283735,5458476,1637542,818771,4093857
C-10024,サンプル顧客S社,8489738,5942816,1697947,509384,254692,84899
C-10025,サンプル顧客T社,4070563,2849394,814112,244233,122116,40708

# Records: 20
