# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-10-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-11-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,111931252,78351876,22386250,6715875,3357937,1119314
C-10002,サンプル顧客B社,15701802,10991261,3140360,942108,471054,157019
C-10003,サンプル顧客C社,55272980,38691086,11054596,3316378,1658189,552731
C-10004,サンプル顧客D社,31742316,22219621,6348463,1904538,952269,317425
C-10005,サンプル顧客E社,7473717,5231601,1494743,448423,224211,74739
C-10006,サンプル顧客F社,9357997,6550597,1871599,561479,280739,93583
C-10007,サンプル顧客G社,9920771,5555633,1984154,595246,297623,1488115
C-10011,サンプル顧客H社,91170535,63819374,18234107,5470232,2735116,911706
C-10012,サンプル顧客I社,96944274,67860991,19388854,5816656,2908328,969445
C-10013,サンプル顧客J社,86891973,60824381,17378394,5213518,2606759,868921
C-10014,サンプル顧客K社,9646335,6752434,1929267,578780,289390,96464
C-10015,サンプル顧客L社,7279870,5095909,1455974,436792,218396,72799
C-10016,サンプル顧客M社,27183529,19028470,5436705,1631011,815505,271838
C-10017,サンプル顧客N社,4472499,2504603,894499,268349,134174,670874
C-10018,サンプル顧客O社,7403090,5182163,1480618,444185,222092,74032
C-10021,サンプル顧客P社,5654728,3958309,1130945,339283,169641,56550
C-10022,サンプル顧客Q社,18854864,13198404,3770972,1131291,565645,188552
C-10023,サンプル顧客R社,22522716,12612723,4504543,1351362,675681,3378407
C-10024,サンプル顧客S社,16033125,11223187,3206625,961987,480993,160333
C-10025,サンプル顧客T社,11697017,8187911,2339403,701821,350910,116972

# Records: 20
