# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-07-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-08-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,127617835,89332484,25523567,7657070,3828535,1276179
C-10002,サンプル顧客B社,46765571,32735899,9353114,2805934,1402967,467657
C-10003,サンプル顧客C社,69652099,48756469,13930419,4179125,2089562,696524
C-10004,サンプル顧客D社,30834290,21584003,6166858,1850057,925028,308344
C-10005,サンプル顧客E社,26854013,18797809,5370802,1611240,805620,268542
C-10006,サンプル顧客F社,13690801,9583560,2738160,821448,410724,136909
C-10007,サンプル顧客G社,23616603,13225299,4723320,1416996,708498,3542490
C-10011,サンプル顧客H社,51106283,35774398,10221256,3066376,1533188,511065
C-10012,サンプル顧客I社,45549099,31884369,9109819,2732945,1366472,455494
C-10013,サンプル顧客J社,15808161,11065712,3161632,948489,474244,158084
C-10014,サンプル顧客K社,30340784,21238548,6068156,1820447,910223,303410
C-10015,サンプル顧客L社,42423332,29696332,8484666,2545399,1272699,424236
C-10016,サンプル顧客M社,34191389,23933972,6838277,2051483,1025741,341916
C-10017,サンプル顧客N社,9078660,5084051,1815732,544719,272359,1361799
C-10018,サンプル顧客O社,4293834,3005683,858766,257630,128815,42940
C-10021,サンプル顧客P社,88378238,61864766,17675647,5302694,2651347,883784
C-10022,サンプル顧客Q社,41775205,29242643,8355041,2506512,1253256,417753
C-10023,サンプル顧客R社,38725419,21686237,7745083,2323525,1161762,5808812
C-10024,サンプル顧客S社,17240062,12068043,3448012,1034403,517201,172403
C-10025,サンプル顧客T社,9520738,6664516,1904147,571244,285622,95209

# Records: 20
