# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-08-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-09-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,24707916,17295541,4941583,1482474,741237,247081
C-10002,サンプル顧客B社,82738557,57916989,16547711,4964313,2482156,827388
C-10003,サンプル顧客C社,29349031,20544321,5869806,1760941,880470,293493
C-10004,サンプル顧客D社,11360076,7952053,2272015,681604,340802,113602
C-10005,サンプル顧客E社,38380915,26866640,7676183,2302854,1151427,383811
C-10006,サンプル顧客F社,37138715,25997100,7427743,2228322,1114161,371389
C-10007,サンプル顧客G社,20555162,11510893,4111032,1233309,616654,3083274
C-10011,サンプル顧客H社,144627752,101239426,28925550,8677665,4338832,1446279
C-10012,サンプル顧客I社,37166425,26016497,7433285,2229985,1114992,371666
C-10013,サンプル顧客J社,4289974,3002981,857994,257398,128699,42902
C-10014,サンプル顧客K社,18491071,12943749,3698214,1109464,554732,184912
C-10015,サンプル顧客L社,30347530,21243271,6069506,1820851,910425,303477
C-10016,サンプル顧客M社,35860546,25102382,7172109,2151632,1075816,358607
C-10017,サンプル顧客N社,15305147,8570884,3061029,918308,459154,2295772
C-10018,サンプル顧客O社,11360076,7952053,2272015,681604,340802,113602
C-10021,サンプル顧客P社,50502991,35352093,10100598,3030179,1515089,505032
C-10022,サンプル顧客Q社,19143771,13400639,3828754,1148626,574313,191439
C-10023,サンプル顧客R社,25314289,14176004,5062857,1518857,759428,3797143
C-10024,サンプル顧客S社,6416955,4491868,1283391,385017,192508,64171
C-10025,サンプル顧客T社,8984417,6289091,1796883,539065,269532,89846

# Records: 20
