# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-04-30
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2025-05-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,60621776,42435243,12124355,3637306,1818653,606219
C-10002,サンプル顧客B社,53773405,37641383,10754681,3226404,1613202,537735
C-10003,サンプル顧客C社,10394540,7276178,2078908,623672,311836,103946
C-10004,サンプル顧客D社,31952671,22366869,6390534,1917160,958580,319528
C-10005,サンプル顧客E社,32983908,23088735,6596781,1979034,989517,329841
C-10006,サンプル顧客F社,35567628,24897339,7113525,2134057,1067028,355679
C-10007,サンプル顧客G社,14375959,8050540,2875191,862557,431278,2156393
C-10011,サンプル顧客H社,76113478,53279434,15222695,4566808,2283404,761137
C-10012,サンプル顧客I社,27778806,19445164,5555761,1666728,833364,277789
C-10013,サンプル顧客J社,14858904,10401232,2971780,891534,445767,148591
C-10014,サンプル顧客K社,15017754,10512427,3003550,901065,450532,150180
C-10015,サンプル顧客L社,7589287,5312500,1517857,455357,227678,75895
C-10016,サンプル顧客M社,8020736,5614515,1604147,481244,240622,80208
C-10017,サンプル顧客N社,27079158,15164331,5415831,1624749,812374,4061873
C-10018,サンプル顧客O社,8619578,6033704,1723915,517174,258587,86198
C-10021,サンプル顧客P社,81237302,56866111,16247460,4874238,2437119,812374
C-10022,サンプル顧客Q社,8342914,5840039,1668582,500574,250287,83432
C-10023,サンプル顧客R社,10003098,5601738,2000619,600185,300092,1500464
C-10024,サンプル顧客S社,7595983,5317188,1519196,455758,227879,75962
C-10025,サンプル顧客T社,5568013,3897609,1113602,334080,167040,55682

# Records: 20
