# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2026-02-28
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2026-03-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,172408220,120685753,34481644,10344493,5172246,1724084
C-10002,サンプル顧客B社,5014988,3510491,1002997,300899,150449,50152
C-10003,サンプル顧客C社,88125883,61688118,17625176,5287552,2643776,881261
C-10004,サンプル顧客D社,19806916,13864841,3961383,1188414,594207,198071
C-10005,サンプル顧客E社,17660795,12362556,3532159,1059647,529823,176610
C-10006,サンプル顧客F社,28950264,20265184,5790052,1737015,868507,289506
C-10007,サンプル顧客G社,8724176,4885540,1744835,523450,261725,1308626
C-10011,サンプル顧客H社,104287852,73001496,20857570,6257271,3128635,1042880
C-10012,サンプル顧客I社,31870438,22309306,6374087,1912226,956113,318706
C-10013,サンプル顧客J社,59150540,41405378,11830108,3549032,1774516,591506
C-10014,サンプル顧客K社,23959214,16771449,4791842,1437552,718776,239595
C-10015,サンプル顧客L社,39383220,27568254,7876644,2362993,1181496,393833
C-10016,サンプル顧客M社,33618136,23532695,6723627,2017088,1008544,336182
C-10017,サンプル顧客N社,24533754,13738904,4906750,1472025,736012,3680063
C-10018,サンプル顧客O社,12495015,8746510,2499003,749700,374850,124952
C-10021,サンプル顧客P社,90933043,63653130,18186608,5455982,2727991,909332
C-10022,サンプル顧客Q社,32247322,22573125,6449464,1934839,967419,322475
C-10023,サンプル顧客R社,11956508,6695646,2391301,717390,358695,1793476
C-10024,サンプル顧客S社,22122144,15485500,4424428,1327328,663664,221224
C-10025,サンプル顧客T社,4600016,3220011,920003,276000,138000,46002

# Records: 20
