# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2025-12-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2026-01-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,18144680,12701276,3628936,1088680,544340,181448
C-10002,サンプル顧客B社,105875852,74113096,21175170,6352551,3176275,1058760
C-10003,サンプル顧客C社,48179805,33725863,9635961,2890788,1445394,481799
C-10004,サンプル顧客D社,29022201,20315540,5804440,1741332,870666,290223
C-10005,サンプル顧客E社,30468403,21327882,6093680,1828104,914052,304685
C-10006,サンプル顧客F社,34137015,23895910,6827403,2048220,1024110,341372
C-10007,サンプル顧客G社,19671846,11016236,3934369,1180310,590155,2950776
C-10011,サンプル顧客H社,135255973,94679181,27051194,8115358,4057679,1352561
C-10012,サンプル顧客I社,85752482,60026737,17150496,5145148,2572574,857527
C-10013,サンプル顧客J社,7335385,5134769,1467077,440123,220061,73355
C-10014,サンプル顧客K社,22142769,15499938,4428553,1328566,664283,221429
C-10015,サンプル顧客L社,9254453,6478117,1850890,555267,277633,92546
C-10016,サンプル顧客M社,27202741,19041918,5440548,1632164,816082,272029
C-10017,サンプル顧客N社,26862856,15043201,5372571,1611771,805885,4029428
C-10018,サンプル顧客O社,13839084,9687358,2767816,830345,415172,138393
C-10021,サンプル顧客P社,11511861,8058302,2302372,690711,345355,115121
C-10022,サンプル顧客Q社,62917929,44042550,12583585,3775075,1887537,629182
C-10023,サンプル顧客R社,19833650,11106845,3966730,1190019,595009,2975047
C-10024,サンプル顧客S社,13628537,9539975,2725707,817712,408856,136287
C-10025,サンプル顧客T社,14136666,9895666,2827333,848199,424099,141369

# Records: 20
