"統制ID","Filename"
"PLC-S-001","SAP_CreditCheck_Log_FY2025.csv"
"PLC-S-001","SAP_FD32_CreditLimitMaster_20260210.xlsx"
"PLC-S-001","SAP_VA01_CreditExceedAlert_Screen.png"
"PLC-S-001","SAP_VA03_SalesOrder_Screen_ORD-2025-1420.png"
"PLC-S-001","SAP_VA05_SalesOrderDetail_FY2025.csv"
"PLC-S-001","SAP_VA05_SalesOrderList_FY2025.xlsx"
"PLC-S-001","Workflow_CreditException_ApprovalHistory_FY2025.csv"
"PLC-S-001","Workflow_CreditException_Approval_Screen.png"
"PLC-S-001","注文書_ORD-2025-0230.pdf"
"PLC-S-001","注文書_ORD-2025-0360.pdf"
"PLC-S-001","注文書_ORD-2025-0490.pdf"
"PLC-S-001","注文書_ORD-2025-0620.pdf"
"PLC-S-001","注文書_ORD-2025-0750.pdf"
"PLC-S-001","注文書_ORD-2025-0880.pdf"
"PLC-S-001","注文書_ORD-2025-1010.pdf"
"PLC-S-001","注文書_ORD-2025-1140.pdf"
"PLC-S-001","注文書_ORD-2025-1270.pdf"
"PLC-S-001","注文書_ORD-2025-1400.pdf"
"PLC-S-001","注文書_ORD-2025-1530.pdf"
"PLC-S-001","注文書_ORD-2025-1660.pdf"
"PLC-S-001","注文書_ORD-2025-1790.pdf"
"PLC-S-001","注文書_ORD-2025-1920.pdf"
"PLC-S-001","注文書_ORD-2025-2050.pdf"
"PLC-S-001","注文書_ORD-2025-2180.pdf"
"PLC-S-001","注文書_ORD-2025-2310.pdf"
"PLC-S-001","注文書_ORD-2025-2440.pdf"
"PLC-S-001","注文書_ORD-2025-2570.pdf"
"PLC-S-001","注文書_ORD-2025-2700.pdf"
"PLC-S-001","注文書_ORD-2025-2830.pdf"
"PLC-S-001","注文書_ORD-2025-2960.pdf"
"PLC-S-001","注文書_ORD-2025-3090.pdf"
"PLC-S-001","注文書_ORD-2025-3220.pdf"
"PLC-S-001","注文書_ORD-2025-3350.pdf"
"PLC-S-001","規程_職務権限規程_R18.pdf"
"PLC-S-002","SAP_BatchLog_ZSD_SHIP_SALES_MATCH_SH-202510-0068.txt"
"PLC-S-002","SAP_FBL3N_SalesJournal_Detail_202511.csv"
"PLC-S-002","SAP_FBL3N_SalesJournal_Detail_FY2025Samples.csv"
"PLC-S-002","SAP_ShipSalesMatch_BatchLog_FY2025Samples.csv"
"PLC-S-002","SAP_VA02_ChangeHistory_ORD-2025-0989.txt"
"PLC-S-002","SAP_ZSD_UNMATCH_List_202511.csv"
"PLC-S-002","SalesShipMatch_SampleTransactionList_FY2025.xlsx"
"PLC-S-002","WMS_ShipmentActual_Export_202511.csv"
"PLC-S-002","WMS_ShipmentActual_Export_FY2025Samples.csv"
"PLC-S-003","SAP_InvoiceBatch_Log_202504.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202505.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202506.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202507.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202508.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202509.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202510.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202511.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202512.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202601.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202602.txt"
"PLC-S-003","SAP_InvoiceBatch_Log_202603.txt"
"PLC-S-003","SAP_VF05_InvoiceRegister_FY2025.csv"
"PLC-S-003","請求書_INV-202504-0001.pdf"
"PLC-S-003","請求書_INV-202505-0001.pdf"
"PLC-S-003","請求書_INV-202506-0001.pdf"
"PLC-S-003","請求書_INV-202507-0001.pdf"
"PLC-S-003","請求書_INV-202508-0001.pdf"
"PLC-S-003","請求書_INV-202509-0001.pdf"
"PLC-S-003","請求書_INV-202510-0001.pdf"
"PLC-S-003","請求書_INV-202511-0001.pdf"
"PLC-S-003","請求書_INV-202511-0234.pdf"
"PLC-S-003","請求書_INV-202512-0001.pdf"
"PLC-S-003","請求書_INV-202601-0001.pdf"
"PLC-S-003","請求書_INV-202602-0001.pdf"
"PLC-S-003","請求書_INV-202603-0001.pdf"
"PLC-S-004","Bank_FB_PaymentReceipt_Data_202511.csv"
"PLC-S-004","Bank_FB_PaymentReceipt_Data_FY2025Samples.csv"
"PLC-S-004","Payment_Clearing_SampleTransactionList_FY2025.xlsx"
"PLC-S-004","SAP_F-28_PaymentClearing_History_FY2025Samples.csv"
"PLC-S-004","SAP_F-28_PaymentClearing_Screen.png"
"PLC-S-005","MailLog_AR_Aging_Inquiry_Correspondence_FY2025.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202504.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202505.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202506.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202507.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202508.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202509.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202510.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202511.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202512.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202601.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202602.csv"
"PLC-S-005","SAP_FB10N_AR_Aging_202603.csv"
"PLC-S-005","Workflow_AR_Aging_Review_ApprovalLog_FY2025.csv"
"PLC-S-006","SAP_YearEndCutoff_ShipSales_Detail_FY2025.csv"
"PLC-S-007","PriceMaster_Change_SampleTransactionList_FY2025.xlsx"
"PLC-S-007","SAP_VK12_PriceCondition_ChangeHistory_FY2025.csv"
"PLC-S-007","価格変更稟議_W-2025-1818.pdf"
"PLC-S-007","価格変更稟議_W-2025-1836.pdf"
"PLC-S-007","価格変更稟議_W-2025-1854.pdf"
"PLC-S-007","価格変更稟議_W-2025-1872.pdf"
"PLC-S-007","価格変更稟議_W-2025-1890.pdf"
"PLC-S-007","価格変更稟議_W-2025-1908.pdf"
"PLC-S-007","価格変更稟議_W-2025-1926.pdf"
"PLC-S-007","価格変更稟議_W-2025-1944.pdf"
"PLC-S-007","価格変更稟議_W-2025-1962.pdf"
"PLC-S-007","価格変更稟議_W-2025-1980.pdf"
"PLC-S-007","価格変更稟議_W-2025-1998.pdf"
"PLC-S-007","価格変更稟議_W-2025-2016.pdf"
"PLC-S-007","価格変更稟議_W-2025-2034.pdf"
"PLC-S-007","価格変更稟議_W-2025-2052.pdf"
"PLC-S-007","価格変更稟議_W-2025-2070.pdf"
"PLC-S-007","価格変更稟議_W-2025-2088.pdf"
"PLC-S-007","価格変更稟議_W-2025-2106.pdf"
"PLC-S-007","価格変更稟議_W-2025-2124.pdf"
"PLC-S-007","価格変更稟議_W-2025-2142.pdf"
"PLC-S-007","価格変更稟議_W-2025-2160.pdf"
"PLC-S-007","価格変更稟議_W-2025-2178.pdf"
"PLC-S-007","価格変更稟議_W-2025-2196.pdf"
"PLC-S-007","価格変更稟議_W-2025-2214.pdf"
"PLC-S-007","価格変更稟議_W-2025-2232.pdf"
"PLC-S-007","価格変更稟議_W-2025-2250.pdf"
